hour,zone,total_ridership
2024-01-04 04:00:00.000000 UTC,Outside,15863
2024-01-04 05:00:00.000000 UTC,Inside,5925
2024-01-04 05:00:00.000000 UTC,Outside,56453
2024-01-04 06:00:00.000000 UTC,Inside,17167
2024-01-04 06:00:00.000000 UTC,Outside,124419
2024-01-04 07:00:00.000000 UTC,Inside,36081
2024-01-04 07:00:00.000000 UTC,Outside,246654
2024-01-04 08:00:00.000000 UTC,Inside,57848
2024-01-04 08:00:00.000000 UTC,Outside,291061
2024-01-04 09:00:00.000000 UTC,Inside,40150
2024-01-04 09:00:00.000000 UTC,Outside,178894
2024-01-04 10:00:00.000000 UTC,Inside,27211
2024-01-04 10:00:00.000000 UTC,Outside,120751
2024-01-04 11:00:00.000000 UTC,Inside,27306
2024-01-04 11:00:00.000000 UTC,Outside,109055
2024-01-04 12:00:00.000000 UTC,Inside,29905
2024-01-04 12:00:00.000000 UTC,Outside,116226
2024-01-04 13:00:00.000000 UTC,Inside,33581
2024-01-04 13:00:00.000000 UTC,Outside,131671
2024-01-04 14:00:00.000000 UTC,Inside,42488
2024-01-04 14:00:00.000000 UTC,Outside,167556
2024-01-04 15:00:00.000000 UTC,Inside,58522
2024-01-04 15:00:00.000000 UTC,Outside,209971
2024-01-04 16:00:00.000000 UTC,Inside,72374
2024-01-04 16:00:00.000000 UTC,Outside,237337
2024-01-04 17:00:00.000000 UTC,Inside,99725
2024-01-04 17:00:00.000000 UTC,Outside,279052
2024-01-04 18:00:00.000000 UTC,Inside,73474
2024-01-04 18:00:00.000000 UTC,Outside,196556
2024-01-04 19:00:00.000000 UTC,Inside,41960
2024-01-04 19:00:00.000000 UTC,Outside,116336
2024-01-04 20:00:00.000000 UTC,Inside,28755
2024-01-04 20:00:00.000000 UTC,Outside,81001
2024-01-04 21:00:00.000000 UTC,Inside,26223
2024-01-04 21:00:00.000000 UTC,Outside,64620
2024-01-04 22:00:00.000000 UTC,Inside,18948
2024-01-04 22:00:00.000000 UTC,Outside,48334
2024-01-04 23:00:00.000000 UTC,Inside,10895
2024-01-04 23:00:00.000000 UTC,Outside,29224
2024-01-05 00:00:00.000000 UTC,Inside,6334
2024-01-05 00:00:00.000000 UTC,Outside,15053
2024-01-05 01:00:00.000000 UTC,Inside,2233
2024-01-05 01:00:00.000000 UTC,Outside,6001
2024-01-05 02:00:00.000000 UTC,Inside,1113
2024-01-05 02:00:00.000000 UTC,Outside,3929
2024-01-05 03:00:00.000000 UTC,Inside,818
2024-01-05 03:00:00.000000 UTC,Outside,5168
2024-01-05 04:00:00.000000 UTC,Inside,1189
2024-01-05 04:00:00.000000 UTC,Outside,15221
2024-01-05 05:00:00.000000 UTC,Inside,5461
2024-01-05 05:00:00.000000 UTC,Outside,53041
2024-01-05 06:00:00.000000 UTC,Inside,14748
2024-01-05 06:00:00.000000 UTC,Outside,113410
2024-01-05 07:00:00.000000 UTC,Inside,28439
2024-01-05 07:00:00.000000 UTC,Outside,216156
2024-01-05 08:00:00.000000 UTC,Inside,37472
2024-01-05 08:00:00.000000 UTC,Outside,221620
2024-01-05 09:00:00.000000 UTC,Inside,29357
2024-01-05 09:00:00.000000 UTC,Outside,141935
2024-01-05 10:00:00.000000 UTC,Inside,24954
2024-01-05 10:00:00.000000 UTC,Outside,109114
2024-01-05 11:00:00.000000 UTC,Inside,25995
2024-01-05 11:00:00.000000 UTC,Outside,103238
2024-01-05 12:00:00.000000 UTC,Inside,29942
2024-01-05 12:00:00.000000 UTC,Outside,113355
2024-01-05 13:00:00.000000 UTC,Inside,33926
2024-01-05 13:00:00.000000 UTC,Outside,132992
2024-01-05 14:00:00.000000 UTC,Inside,44471
2024-01-05 14:00:00.000000 UTC,Outside,169216
2024-01-05 15:00:00.000000 UTC,Inside,57207
2024-01-05 15:00:00.000000 UTC,Outside,206403
2024-01-05 16:00:00.000000 UTC,Inside,64905
2024-01-05 16:00:00.000000 UTC,Outside,220027
2024-01-05 17:00:00.000000 UTC,Inside,74643
2024-01-05 17:00:00.000000 UTC,Outside,231912
2024-01-05 18:00:00.000000 UTC,Inside,57766
2024-01-05 18:00:00.000000 UTC,Outside,175508
2024-01-05 19:00:00.000000 UTC,Inside,39078
2024-01-05 19:00:00.000000 UTC,Outside,119955
2024-01-05 20:00:00.000000 UTC,Inside,28138
2024-01-05 20:00:00.000000 UTC,Outside,84748
2024-01-05 21:00:00.000000 UTC,Inside,25940
2024-01-05 21:00:00.000000 UTC,Outside,68046
2024-01-05 22:00:00.000000 UTC,Inside,29233
2024-01-05 22:00:00.000000 UTC,Outside,59930
2024-01-05 23:00:00.000000 UTC,Inside,15916
2024-01-05 23:00:00.000000 UTC,Outside,41191
2024-01-06 00:00:00.000000 UTC,Inside,9686
2024-01-06 00:00:00.000000 UTC,Outside,23082
2024-01-06 01:00:00.000000 UTC,Inside,4448
2024-01-06 01:00:00.000000 UTC,Outside,10495
2024-01-06 02:00:00.000000 UTC,Inside,2159
2024-01-06 02:00:00.000000 UTC,Outside,6196
2024-01-06 03:00:00.000000 UTC,Inside,1344
2024-01-06 03:00:00.000000 UTC,Outside,5019
2024-01-06 04:00:00.000000 UTC,Inside,1128
2024-01-06 04:00:00.000000 UTC,Outside,8782
2024-01-06 05:00:00.000000 UTC,Inside,1681
2024-01-06 05:00:00.000000 UTC,Outside,18912
2024-01-06 06:00:00.000000 UTC,Inside,3971
2024-01-06 06:00:00.000000 UTC,Outside,36796
2024-01-06 07:00:00.000000 UTC,Inside,6473
2024-01-06 07:00:00.000000 UTC,Outside,53228
2024-01-06 08:00:00.000000 UTC,Inside,9441
2024-01-06 08:00:00.000000 UTC,Outside,66149
2024-01-06 09:00:00.000000 UTC,Inside,13793
2024-01-06 09:00:00.000000 UTC,Outside,78275
2024-01-06 10:00:00.000000 UTC,Inside,18544
2024-01-06 10:00:00.000000 UTC,Outside,84921
2024-01-06 11:00:00.000000 UTC,Inside,22832
2024-01-06 11:00:00.000000 UTC,Outside,95609
2024-01-06 12:00:00.000000 UTC,Inside,26907
2024-01-06 12:00:00.000000 UTC,Outside,106418
2024-01-06 13:00:00.000000 UTC,Inside,29894
2024-01-06 13:00:00.000000 UTC,Outside,115213
2024-01-06 14:00:00.000000 UTC,Inside,33101
2024-01-06 14:00:00.000000 UTC,Outside,121644
2024-01-06 15:00:00.000000 UTC,Inside,38727
2024-01-06 15:00:00.000000 UTC,Outside,129595
2024-01-06 16:00:00.000000 UTC,Inside,40168
2024-01-06 16:00:00.000000 UTC,Outside,122592
2024-01-06 17:00:00.000000 UTC,Inside,36471
2024-01-06 17:00:00.000000 UTC,Outside,110370
2024-01-06 18:00:00.000000 UTC,Inside,30428
2024-01-06 18:00:00.000000 UTC,Outside,94174
2024-01-06 19:00:00.000000 UTC,Inside,24969
2024-01-06 19:00:00.000000 UTC,Outside,73928
2024-01-06 20:00:00.000000 UTC,Inside,18801
